,AZD7762,PLX4720,Olaparib,Linsitinib,Fluorouracil
COSMIC_910932,1,1,1,1,1
COSMIC_910933,1,2,2,1,1
COSMIC_910934,2,2,2,2,2
COSMIC_910935,2,2,2,2,2
COSMIC_910936,1,2,1,2,1
COSMIC_910937,1,1,2,1,2
COSMIC_910941,1,1,2,2,2
COSMIC_910942,1,1,2,2,2
COSMIC_910943,1,0,0,0,0
COSMIC_910944,2,2,2,2,2
COSMIC_910947,2,2,2,1,2
COSMIC_910948,1,1,0,0,0
COSMIC_910951,2,2,2,2,2
COSMIC_910952,2,2,1,1,2
COSMIC_911905,1,0,0,1,0
COSMIC_917486,0,0,1,2,1
COSMIC_924100,0,1,0,1,2
COSMIC_924102,0,1,1,0,0
COSMIC_924104,1,2,1,1,0
COSMIC_924105,1,1,2,2,1
COSMIC_924106,1,1,1,0,2
COSMIC_924107,1,2,2,2,2
COSMIC_924108,1,1,1,1,0
COSMIC_924110,1,1,1,1,1
COSMIC_924111,1,2,1,1,2
COSMIC_924151,1,2,1,1,1
COSMIC_924186,1,2,2,1,2
COSMIC_924187,0,1,1,0,0
COSMIC_924238,1,2,2,1,2
COSMIC_924239,2,2,1,2,1
COSMIC_924240,0,1,1,1,1
COSMIC_924241,1,0,1,0,0
COSMIC_924244,1,1,1,1,1
COSMIC_924250,1,1,2,0,0
COSMIC_925338,2,0,1,1,2
COSMIC_925340,2,1,1,0,2
COSMIC_925341,1,1,2,1,1
COSMIC_925343,1,1,1,1,0
COSMIC_925345,2,2,2,2,0
COSMIC_925346,2,0,0,0,2
COSMIC_925347,0,0,1,1,0
COSMIC_925348,1,0,0,1,0
COSMIC_930082,1,2,2,1,1
COSMIC_930083,0,0,0,0,0
COSMIC_930297,0,1,1,1,1
COSMIC_930298,1,1,0,0,1
COSMIC_930299,0,0,0,2,0
COSMIC_946353,1,1,2,1,0
COSMIC_946355,1,1,1,1,1
COSMIC_946356,1,1,1,1,0
COSMIC_946357,2,1,2,2,1
COSMIC_946358,2,2,2,1,2
COSMIC_946359,0,0,0,0,0
COSMIC_946360,0,1,1,0,0
COSMIC_946361,1,1,1,2,1
COSMIC_946368,1,1,1,1,2
COSMIC_946370,1,1,0,1,1
COSMIC_946382,0,1,1,1,1
COSMIC_949090,1,1,0,0,1
COSMIC_949093,0,0,0,0,0
COSMIC_949094,1,1,1,1,1
COSMIC_949153,2,2,1,2,2
COSMIC_949155,2,1,2,2,2
COSMIC_949156,2,1,2,1,2
COSMIC_949157,1,1,0,1,1
COSMIC_949158,2,1,2,2,2
COSMIC_949160,2,1,1,2,2
COSMIC_949161,1,1,2,2,2
COSMIC_949163,2,1,2,2,1
COSMIC_949164,1,1,1,2,1
COSMIC_949165,1,1,2,2,1
COSMIC_949166,0,0,2,1,1
COSMIC_949167,2,1,2,2,1
COSMIC_949168,0,1,1,2,0
COSMIC_949171,1,1,2,2,2
COSMIC_949172,0,2,2,2,0
COSMIC_949174,1,1,1,1,0
COSMIC_949177,2,2,2,2,2
COSMIC_949178,2,1,2,1,2
COSMIC_949179,0,0,0,1,0
COSMIC_971773,2,2,2,2,2
COSMIC_998184,2,2,2,1,2
COSMIC_998189,1,0,1,1,1
